Fecha,Sigla Empresa,Nombre,Origen,Nombre,Ciudad Origen,Departamento Origen,Pais Origen,Continente Origen,Destino,Nombre,Ciudad Destino,Departamento Destino,Pais Destino,Continente Destino,Tipo de Equipo,Tipo Vuelo,Tráfico,Número de Vuelos,Horas Bloque,Sillas Ofrecidas,Pasajeros A Bordo,Pasajeros Tránsito,Carga Ofrecida (Kg.),Carga + Correo A Bordo (Kg.),Carga Tránsito (Kg.)
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,A04,SANTA ROSA DEL SUR,SANTA ROSA DEL SUR,BOLIVAR,COLOMBIA,SURAMERICA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.58,0.00,2.00,0.00,0.00,20.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,AGH,AGUACHICA HACARITAMA,AGUACHICA,CESAR,COLOMBIA,SURAMERICA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,6.00,3.45,0.00,12.00,0.00,0.00,150.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,ARAUCA,COLOMBIA,SURAMERICA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,1.00,1.6,0.00,2.00,0.00,0.00,30.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,A04,SANTA ROSA DEL SUR,SANTA ROSA DEL SUR,BOLIVAR,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.75,0.00,2.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,AGH,AGUACHICA HACARITAMA,AGUACHICA,CESAR,COLOMBIA,SURAMERICA,PA34,T,N,6.00,3.35,0.00,12.00,0.00,0.00,2.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,CIM,CIMITARRA GUSTAVO ROJAS,CIMITARRA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.5,0.00,2.00,0.00,0.00,30.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,EJA,BARRANCABERMEJA-YARIGUIES,BARRANCABERMEJA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.5,0.00,1.00,0.00,0.00,20.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,ANTIOQUIA,COLOMBIA,SURAMERICA,PA34,T,N,3.00,3.03,0.00,3.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,HTZ,HATO COROZAL,HATO COROZAL,CASANARE,COLOMBIA,SURAMERICA,PA34,T,N,1.00,1.38,0.00,2.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,PGT,MORELIA,PUERTO GAITAN,META,COLOMBIA,SURAMERICA,PA34,T,N,1.00,1.1,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,CAQ,CAUCASIA- JUAN H. WHITE,CAUCASIA,ANTIOQUIA,COLOMBIA,SURAMERICA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,ANTIOQUIA,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.92,0.00,1.00,0.00,0.00,20.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,CIM,CIMITARRA GUSTAVO ROJAS,CIMITARRA,SANTANDER,COLOMBIA,SURAMERICA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.52,0.00,2.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,VALLE,COLOMBIA,SURAMERICA,MZL,MANIZALES - LA NUBIA,MANIZALES,CALDAS,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.65,0.00,3.00,0.00,0.00,20.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,CUC,CAMILO DAZA,CUCUTA,NORTE DE SANTANDER,COLOMBIA,SURAMERICA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.5,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,EJA,BARRANCABERMEJA-YARIGUIES,BARRANCABERMEJA,SANTANDER,COLOMBIA,SURAMERICA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.5,0.00,1.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,ANTIOQUIA,COLOMBIA,SURAMERICA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,2.00,2.3,0.00,3.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,ANTIOQUIA,COLOMBIA,SURAMERICA,CAQ,CAUCASIA- JUAN H. WHITE,CAUCASIA,ANTIOQUIA,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.92,0.00,1.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,ANTIOQUIA,COLOMBIA,SURAMERICA,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,VALLE,COLOMBIA,SURAMERICA,PA34,T,N,1.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,ANTIOQUIA,COLOMBIA,SURAMERICA,GYM,GUAYMARAL,CHIA,CUNDINAMARCA,COLOMBIA,SURAMERICA,PA34,T,N,1.00,1,0.00,2.00,0.00,0.00,20.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,GYM,GUAYMARAL,CHIA,CUNDINAMARCA,COLOMBIA,SURAMERICA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.8,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,HTZ,HATO COROZAL,HATO COROZAL,CASANARE,COLOMBIA,SURAMERICA,RVE,SARAVENA-COLONIZADORES,SARAVENA,ARAUCA,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.52,0.00,2.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,ANTIOQUIA,COLOMBIA,SURAMERICA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,ANTIOQUIA,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,MZL,MANIZALES - LA NUBIA,MANIZALES,CALDAS,COLOMBIA,SURAMERICA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,ANTIOQUIA,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.58,0.00,3.00,0.00,0.00,20.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,PGT,MORELIA,PUERTO GAITAN,META,COLOMBIA,SURAMERICA,CUC,CAMILO DAZA,CUCUTA,NORTE DE SANTANDER,COLOMBIA,SURAMERICA,PA34,T,N,1.00,1.48,0.00,4.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,0ED,GOOD FLY CO SAS,RVE,SARAVENA-COLONIZADORES,SARAVENA,ARAUCA,COLOMBIA,SURAMERICA,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,ARAUCA,COLOMBIA,SURAMERICA,PA34,T,N,1.00,0.6,0.00,2.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,1AE,AERO APOYO,7IV,AKAE,LA PRIMAVERA,VICHADA,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,C206,T,N,1.00,1.5,0.00,5.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,1AE,AERO APOYO,A06,EL ENCANTO,EL ENCANTO,AMAZONAS,COLOMBIA,SURAMERICA,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,AMAZONAS,COLOMBIA,SURAMERICA,C206,T,N,1.00,0.33,0.00,3.00,0.00,0.00,0.00,0.00
