Sigla Empresa,Nombre,Fecha,Año,Número de Mes,Origen,Nombre,Ciudad Origen,Pais Origen,Destino,Nombre,Ciudad Destino,Pais Destino,Tráfico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg)
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,SRO,SANTA ROSALIA,SANTA ROSALIA,COLOMBIA,N,T,4.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,TME,TAME,TAME,COLOMBIA,N,T,2.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,A06,EL ENCANTO,EL ENCANTO,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,ACR,ARARACUARA,ARARACUARA,COLOMBIA,N,T,5.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,4.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,A13,MIRITI PARANA,MIRITI-PARANA,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,N,T,0.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,TAP,TARAPACA,LETICIA,COLOMBIA,N,T,2.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,ARC,PERENCO,YOPAL,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,0.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,N,T,0.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,MAP,MAPIRIPAN,MAPIRIPAN,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,2.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,CRU,CARURU,CARURU,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,57.00,0.00
